Field,Degree Level,Name of Degree,University name,Annual Fee,Duration,Intakes,General Entry Requirements and Documents,Language of teaching,Scholarships available
Law,Postgraduate,LLM International Commercial Law,University of Birmingham,"AED 114,250(full time)/AED 57,125(part time)",1 year (full-time)/2 years(part-time),FT Sep/PT Jan,A 2:1 Honours Degree (or international equivalent) in Law,English,
Law,Postgraduate,LLM International Dispute Resolution,University of Birmingham,"AED 114,250(full time)/AED 57,125(part time)",1 year (full-time)/2 years(part-time),FT Sep/PT Jan,A 2:1 Honours Degree (or international equivalent) in Law,English,
Bachelor of Arts,Undergraduate,BA Business Administration,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- passport copy,English,No Scholarships
Bachelor of Arts,Undergraduate,BA Digital Business,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- visa copy,English,
Bachelor of Arts,Undergraduate,BA Entrepreneurship,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- emirates id copy,English,
Bachelor of Arts,Undergraduate,BA Aviation Management,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- last educational transcript/certificate,English,
Bachelor of Arts,Undergraduate,BA Hospitality Managament,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- passport size photograph,English,
Bachelor of Science,Undergraduate,BSc Psychology,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- application form duely filled with the below attachment.,English,
Bachelor of Science,Undergraduate,BSc Computer Science,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- resume,English,
Bachelor of Science,Undergraduate,BSc Data Science,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- experience letter if any,English,
Bachelor of Science,Undergraduate,BSc Cyber Security,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- APS attestation (Indian Students Mandatory),English,
Bachelor of Science,Undergraduate,BSc Applied Artificial Intelligence,Wellington Campus,"47,150 AED/15,716 AED per year",3 Years,Jan/sept,- Minimum 45% score for UG and PG Students.,English,
Master of Science,Postgraduate,MSc Artificial Intelligence,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Healthcare Management.,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in International Marketing,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Big data Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Engineering Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Innovation and Entrepreneurship.,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Human Resource Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in E-Sports Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Artificial Intelligence,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Supply Chain Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in Finance & Accounting,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,English,
MBA,,> MBA in IT Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MSc Artificial Intelligence,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MSc Computer Science,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MSc Cyber Security Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MSc Cyber Security,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MSc Data Science,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MSc Data Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MSc Business Intelligence,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,"MSc Finance , Accounting & Taxation",Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in Digital Marketing,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in Human Resource Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in Digital Innovation & Intrapreneurship,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in Marketing Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in Innovation & Entrepreneurship,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in International Healthcare Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in Project Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
MBA,,MA in Information Technology Management,Wellington Campus,"29,300 AED for 1 year 32,000 - 35,000 AED for 2 years",1 Year/2 Years,Jan/sept,,,
Information Technologies & Security,Undergraduate,BA Information Technologies & Security,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Information Technologies & Security,Undergraduate,BA Web Design & Network Systems,"European University, Ras Al Khaima","AED 55,000",4 years,sept,"For UG: Completed application form
Official high school transcripts
Letter of recommendation
Personal Essay
Application fee payment
English language proficiency test scores
Interview
Visa documentation (for international students)",English,
Information Technologies & Security,Undergraduate,BA Graphic Design,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Information Technologies & Security,Undergraduate,BA Marketing,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Information Technologies & Security,Postgraduate,MA Information Technologies & Security,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Information Technologies & Security,Postgraduate,MA Web Design & Network Systems,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Information Technologies & Security,Postgraduate,MA Graphic Design,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Information Technologies & Security,Postgraduate,MA Marketing,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Management & Business Development,Undergraduate,BA Management,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Management & Business Development,Undergraduate,BA Finance & Banking,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Management & Business Development,Undergraduate,BA International Business,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Management & Business Development,Undergraduate,BA Tourism & Hotel Management,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Management & Business Development,Postgraduate,MA Management,"European University, Ras Al Khaima","AED 65,000",2 years,sept,"For PG: Completed application form
Official high school transcripts, UG certificate
Letter of recommendation, CV
Personal Essay
Application fee payment
English language proficiency test scores
Interview
Visa documentation (for international students)""",English,
Management & Business Development,Postgraduate,MA Finance & Banking,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Management & Business Development,Postgraduate,MA International Business,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Management & Business Development,Postgraduate,MA Tourism & Hotel Management,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Social & Human Sciences,Undergraduate,BA Law,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Social & Human Sciences,Undergraduate,BA International Relations,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Social & Human Sciences,Undergraduate,BA Language & Communication,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Social & Human Sciences,Undergraduate,BA Psychology.,"European University, Ras Al Khaima","AED 55,000",4 years,sept,,English,
Social & Human Sciences,Postgraduate,MA Law,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Social & Human Sciences,Postgraduate,MA International Relations,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Social & Human Sciences,Postgraduate,MA Language & Communication,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
Social & Human Sciences,Postgraduate,MA Psychology.,"European University, Ras Al Khaima","AED 65,000",2 years,sept,,English,
,Undergraduate,Bachelor of Commerce – International Business,Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,Max 30%
,Undergraduate,Bachelor of Commerce – Accounting and Finance (Double Major),Curtin University,"AED 56,700",3 Years,jan/may/sept,For UG: Submit application form,English,
,Undergraduate,Bachelor of Business Administration – Innovation and Entrepreneurship,Curtin University,"AED 56,700",3 Years,jan/may/sept,Transcripts & Certificates,English,
,Undergraduate,Bachelor of Commerce – Finance and Marketing (Double Major),Curtin University,"AED 56,700",3 Years,jan/may/sept,Submit certified copies of your English test score (IELTS or TOEFL) if applicable,English,
,Undergraduate,Bachelor of Commerce – International Business and Marketing (Double Major),Curtin University,"AED 56,700",3 Years,jan/may/sept,2 Passport size photographs,English,
,Undergraduate,Bachelor of Commerce – Finance,Curtin University,"AED 56,700",3 Years,jan/may/sept,Passport copy with visa page,English,
,Undergraduate,Bachelor of Commerce – Accounting,Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,
,Undergraduate,Bachelor of Commerce – Marketing,Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,
,Undergraduate,Bachelor of Business Administration – Small Business Start-Up,Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,
,Undergraduate,Bachelor of Business Administration – Digital Marketing,Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,
,Undergraduate,Bachelor of Business Administration – Tourism and Hospitality Essentials,Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,
,Undergraduate,Bachelor of Business Administration – Workforce Management,Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,
,Undergraduate,Bachelor of Commerce – Finance and International Business (Double Major),Curtin University,"AED 56,700",3 Years,jan/may/sept,,English,
,Postgraduate,Master of Business Administration in International Business,Curtin University,AED 57750,3 Years,Feb/july/oct,For PG: Submit application form,English,
,Undergraduate,Bachelor of Science (Information Technology),Curtin University,AED 56700,3 Years,,Transcripts & Certificates,English,
,Undergraduate,Bachelor of Science (Cyber Security),Curtin University,AED 56700,3 Years,,Submit certified copies of your English test score (IELTS or TOEFL) if applicable,English,
,Undergraduate,Bachelor of Engineering (Honours) – Mechanical Engineering,Curtin University,"AED 60,900",4 Years,Feb/sept,2 Passport size photographs,English,
,Postgraduate,Master of Engineering Management,Curtin University,"AED 60,900",16 months,Feb/july/oct,Passport copy with visa page,English,
,Undergraduate,Bachelor of Science (Psychological Science),Curtin University,AED 56700,3 Years,,,English,
,Undergraduate,Bachelor of Science (Psychological Science and Human Resource Management),Curtin University,AED 56700,4 Years,,,English,
Business,Foundation,International Year Zero,De Montfort University,"AED 44,100",1 Year,jan/ april/ oct,"For UG: GCE A-Levels- CCD
CBSE/ ICSE/ All Indian Boards
Successful completion of Standard XII with a 65% average from the best four subjects excluding Hindi or any other local language, e.g. Punjabi, Gujarati, Tamil, Marathi
Interview any candidate with 60% or above.
American High School Diploma + SAT
High School Diploma with a minimum GPA of 3.0 plus Advanced Placement, two subjects from group A with grade 3 or above ORSAT2 - 2 subject tests with a minimum score of 500 in each = 1000
UAE Tawjihiyya
Entry to IYZ only
International Baccalaureate Diploma
24 points
BTEC Level 3 Extended Diploma
DMM
African WAEC/ NECO/ WASSCE
5 ""B"" grades (only for Business Programme)
FBISE grade 12 (Pakistan)
85%
Curriculum Russian/Kazakhstan

Entry to IYZ onlysubmit application form (500 aed) 
IELTS Academic: 5.5 (minimum 5.0 in each band)
TOEFL Internet-based: 65
Pearson PTE Academic: 51 Additionally, students with the following qualifications may be considered as having met the English language requirements:
GCSE/IGCSE/O-Level English (as a first or second language): Grade C or higher
CBSE/All Indian state boards: A minimum grade of 45% in English
International Baccalaureate: Minimum grade 4 in English A1 (Standard or Higher Level) in IB OR a minimum of grade 5 in English B (Higher Level)
West African/Nigerian Curriculum WAEC/ WASSCE/ SSSCE: Minimum grade ""C6""",,"DMU
Early application discount is AED 7500

https://www.dmu.ac.uk/dubai/study-at-dmu-dubai/fees-and-funding.aspx"
Business,Undergraduate,BSc (Hons) Accounting and Finance,De Montfort University,"AED ‎60,585",3 Years,jan/ april/ oct,,,
Business,Undergraduate,BA (Hons) Business Management,De Montfort University,"AED 60,585",3 Years,jan/ april/ oct,,,
Business,Postgraduate,MA Human Resource Management,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
Business,Postgraduate,MSc International Business and Management,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,"For PG: undergraduate degree in any subject with a minimum pass of 2:2, or equivalent overseas qualification. Professional qualifications deemed to be of equivalent standing will be considered on an individual basis. 
Work experience is not a requirement. If english is not your first language an IELTS score of 6.0 overall with 5.5 in each band. English Language tuition, delivered by our British Council.",,
Business,Postgraduate,MSc Marketing Management,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,"IELTS Academic: 6.0 (minimum 5.5 in each band)
TOEFL Internet-based: 72 (17 in listening & writing, 20 in speaking and 18 in reading)
Pearson PTE Academic: 51
Additionally, students with the following qualifications may be considered as having met the English language requirements:
GCSE/IGCSE/O-Level English (as a first or second language): Grade C or higher
CBSE/ISC boards/NIOS/All state boards: A minimum grade of 55% in English
International Baccalaureate: Minimum grade 5 in English A1 (Standard or Higher Level) in IB OR a minimum of grade 5 in English B (Higher Level)
West African/Nigerian Curriculum WAEC/ WASSCE/ SSSCE: Minimum grade ""C6""",,
Business,Postgraduate,Master of Business Administration MBA (Global),De Montfort University,"AED 99,225","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
Business,Postgraduate,MSc Project Management,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
Computing,Foundation,International Year Zero,De Montfort University,"AED 44,100",1 Year,jan/ april/ oct,,,
Computing,Undergraduate,BSc (Hons) Computer Science,De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Computing,Undergraduate,BSc (Hons) Cyber Security,De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Computing,Postgraduate,MSc Artificial Intelligence,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
Computing,Postgraduate,MSc Data Analytics,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
Engineering,Foundation,International Year Zero,De Montfort University,"AED 44,100","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
Engineering,Undergraduate,BEng (Hons) Mechanical Engineering,De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Art & Design,Foundation,International Year Zero,De Montfort University,"AED 44,100",1 Year,jan/ april/ oct,,,
Art & Design,Undergraduate,BSc (Hons) Architecture,De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Art & Design,Undergraduate,BA (Hons) Fashion Communication and Styling,De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Art & Design,Undergraduate,BA (Hons) Interior Design,De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Art & Design,Postgraduate,MA Fashion Management with Marketing,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
Law,Foundation,International Year Zero,De Montfort University,"AED 44,100",1 Year,jan/ april/ oct,,,
Law,Undergraduate,LLB (Hons),De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Social Science,Foundation,International Year Zero,De Montfort University,"AED 44,100",1 Year,jan/ april/ oct,,,
Social Science,Undergraduate,BSc (Hons) Psychology,De Montfort University,"AED 71,610",3 Years,jan/ april/ oct,,,
Science,Foundation,International Year Zero Science,De Montfort University,"AED 71,610",1 Year,jan/ april/ oct,,,
Science,Undergraduate,BSc (Hons) Biomedical Science,De Montfort University,"AED 99,225",3 Years,jan/ april/ oct,,,
Sustainable Development,Postgraduate,MSc Energy and Sustainable Development,De Montfort University,"AED 89,250","1 Year (Full-time), 2 Years (Part-time)",jan/ april/ oct,,,
-,Foundation,International Foundation Programme (Austria & Germany),Gulf Medical University,"AED 45,000",7 Months,,"minimum of 12 years of education in school and passed subjects in Physics, Chemistry and Biology in the Higher Secondary Examination.",English,
-,Foundation,International Medical Foundation Program,Gulf Medical University,"AED 48,000",9 Months,,equivalency certificate,English,
Medicine,Undergraduate,Bachelor of Biomedical Science (BBMS),Gulf Medical University,"AED 44,400",4 Years,,"Or passing specified remedial subjects, as mentioned in the letter of conditional admission issued by the Ministry of Education",English,
Medicine,Undergraduate,Pathway to International Medicine Program - MD,Gulf Medical University,-,6 Years,,Or pass successfully at least twenty-four (24) academic hours in the specialization courses.,English,
Medicine,Undergraduate,Higher Diploma in Pre-Clinical Sciences (HDPCS),Gulf Medical University,"AED 94,500",3 Years,,IELTS 0 for Academic and TOEFL 500 (CBT 173 / iBT 61 ) or equivalent,English,
Medicine,Postgraduate,Master in Public Health (MPH),Gulf Medical University,"AED 57,750",2 Years,,"admission exam, a personal meeting with the applicant and parent is arranged before the GMU Admission Committee.",English,
Medicine,Postgraduate,Master in Health Professions Education (MHPE),Gulf Medical University,"AED 73,500",2 Years,,,English,
Medicine,Doctorate,Doctor of Philosophy in Precision Medicine (PhD-PM),Gulf Medical University,"AED 157,500",4 Years,,"Attested High School Transcript of Grades 10 or 11, & 12 covering Biology, Chemistry, Physics, Mathematics & English.",English,
Medicine,Doctorate,Doctor of Medicine Program (MD) – 6 Years,Gulf Medical University,"AED 150,000",6 Years,,"Equivalency Certificate from the Ministry of Education, UAE for international curriculum",English,
Medicine,Doctorate,Graduate Entry Doctor of Medicine Program (MD) – 4 Years,Gulf Medical University,"AED 147,000",4 Years,,Passport copy (Applicant and Parent),English,
Dentistry,Diploma,Diploma of Dental Assistant (DDA),Gulf Medical University,"AED 40,000",2 Years,,Emirates ID Card (if UAE Resident),English,
Dentistry,Undergraduate,Bachelor of Dental Surgery (BDS),Gulf Medical University,"AED 132,300",5 Years,,Valid English Language Proficiency Score (IELTS/TOEFL etc.),English,
Dentistry,Postgraduate,Master of Dental Surgery in Periodontics (MDS),Gulf Medical University,"AED 170,000",3 Years,,Passport Photograph with white background,English,
Dentistry,Postgraduate,Master of Dental Surgery in Endodontics (MDS),Gulf Medical University,"AED 170,000",3 Years,,All UAE Nationals shall submit a copy of UAE nationality ID (Khulasat Al-Kayd) and family Book/card with identification number,English,
Pharmacy,Diploma,Diploma in Pharmacy Technician,Gulf Medical University,"AED 30,000",2 Years,,Good Conduct Certificate from school,English,
Pharmacy,Undergraduate,Bachelor of Pharmacy (BPharm),Gulf Medical University,"AED 63,000",4.5 Years,,Medical Fitness Certificate from Thumbay Hospital,English,
Pharmacy,Undergraduate,PharmD (Combined Degree),Gulf Medical University,-,6 Years,,Medical Insurance certificate (for UAE residents),English,
Pharmacy,Postgraduate,Master in Clinical Pharmacy (MCP),Gulf Medical University,"AED 66,150",6 Years,,All originals shall be scanned and returned to applicant.,English,
Pharmacy,Postgraduate,Postgraduate PharmD,Gulf Medical University,"AED 66,150",2 Years,,,English,
Pharmacy,Postgraduate,Master of Science in Drug Discovery and Development (MDD),Gulf Medical University,"AED 52,500",2 Years,,,English,
Health Sciences,Undergraduate,Bachelor of Physiotherapy (BPT),Gulf Medical University,"AED 53,000",4 Years,,,English,
Health Sciences,Undergraduate,Bachelor of Science – Medical Laboratory Sciences (BSc. MLS),Gulf Medical University,"AED 44,400",4 Years,,,English,
Health Sciences,Undergraduate,Bachelor of Science – Medical Imaging Sciences (BSc.MIS),Gulf Medical University,"AED 44,400",4 Years,,,English,
Health Sciences,Undergraduate,Bachelor of Science - Anesthesia Technology (BSc. AT),Gulf Medical University,"AED 44,400",4 Years,,,English,
Health Sciences,Postgraduate,Master of Physical Therapy (MPT),Gulf Medical University,"AED 66,150",2 Years,,,English,
Health Sciences,Postgraduate,Master of Science in Medical Laboratory Sciences (MSc. MLS),Gulf Medical University,"AED 47,250",2 Years,,,English,
Health Sciences,Postgraduate,Master of Science in Medical Ultrasound (MSc. MUS),Gulf Medical University,"AED 66,150",2 Years,,,English,
Nursing,Undergraduate,Bachelor of Science in Nursing (BSN),Gulf Medical University,"AED 44,400",4 Years,,,English,
Nursing,Undergraduate,Bachelor of Science in Nursing for Registered Nurses (RN-BSN),Gulf Medical University,"AED 38,000",2 Years,,,English,
Healthcare Management and Economics,Undergraduate,Bachelor of Science in Healthcare Management and Economics (BSc.HME),Gulf Medical University,"AED 52,500",4 Years,,,English,
Healthcare Management and Economics,Postgraduate,Executive Master in Healthcare Management and Economics (EMHME),Gulf Medical University,"AED 115,800(3 semesters)",3 Semesters,,,English,
"Energy, Geoscience, Infrastructure and Society",Undergraduate,BEng (Hons) Architectural Engineering,Heriot-Watt University,AED 76045,4 years,Sep/Jan,"For UG: Foundation-  minimum of 5C's in IGCSE including the relevant subjects. Management, Design and Psychology- minimum of CCD in Advanced Level, Engineering minimum CCC in Advanced Level including Mathematics and Physics/Chemistry, Computer Science- CCC in Advanced Level including Mathematics, Data Science- BCC in Advanced Level including Mathematics, Statistical Data Science- ABB in Advanced Level including Mathematics.",English,
"Energy, Geoscience, Infrastructure and Society",Undergraduate,BA (Hons) Architecture,Heriot-Watt University,AED 82178,4 years,Sep/Jan,For PG: For most subjects we require Second Class Lower (2:2) award in the relevant Undergraduate Degree. For Robotics and Global Sustainability Engineering we require Second Class Upper (2:1) award in the relevant Undergraduate Degree.,English,
"Energy, Geoscience, Infrastructure and Society",Undergraduate,Certificate of Higher Education in Engineering,Heriot-Watt University,AED 76045,2 semesters,Sep/Jan,"IELTS Academic: Foundation- 5.5 (with no band below 5.0), UG- 6.0 (with no band below 5.5)",English,
"Energy, Geoscience, Infrastructure and Society",Undergraduate,BEng (Hons) Civil Engineering,Heriot-Watt University,AED 76045,4 years,Sep/Jan,PTE Academic: 44-49. 50-57 with 51 in each component,English,
"Energy, Geoscience, Infrastructure and Society",Undergraduate/Postgraduate,BA/MA (Hons) Real Estate Management and Finance,Heriot-Watt University,AED 68686,4 years,Sep/Jan,"TOEFL ibt: Foundation- 70-78 including reading 18, listening 17, speaking 19 and writing 21",English,
"Energy, Geoscience, Infrastructure and Society",Postgraduate,MSc Civil Engineering and Construction Management,Heriot-Watt University,AED 99349 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
"Energy, Geoscience, Infrastructure and Society",Postgraduate,MSc Commercial Management and Quantity Surveying,Heriot-Watt University,AED 91990 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
"Energy, Geoscience, Infrastructure and Society",Postgraduate,MSc Construction Project Management,Heriot-Watt University,AED 91990 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
"Energy, Geoscience, Infrastructure and Society",Postgraduate,MSc Facilities Management,Heriot-Watt University,AED 91990 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
"Energy, Geoscience, Infrastructure and Society",Postgraduate,MSc Petroleum Engineering,Heriot-Watt University,AED 159449 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
"Energy, Geoscience, Infrastructure and Society",Postgraduate,MSc Real Estate,Heriot-Watt University,AED 91990,"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
"Energy, Geoscience, Infrastructure and Society",Doctorate,EngD Construction,Heriot-Watt University,AED 60713,4 years,Sep/Jan,,English,
"Energy, Geoscience, Infrastructure and Society",Doctorate,"PhD Energy, Geoscience, Infrastructure and Society",Heriot-Watt University,AED 95670,3 years,Sep/Jan,,English,
Engineering and Physical Sciences,Foundation,Advanced Degree Entry (Foundation) Programme in Engineering + Year 1: Engineering,Heriot-Watt University,AED 85857(Total),3 semesters,Sep/Jan,,English,
Engineering and Physical Sciences,Undergraduate,BEng (Hons) Automotive Engineering,Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Engineering and Physical Sciences,Undergraduate,Certificate of Higher Education in Engineering,Heriot-Watt University,AED 76045,2 semesters,Sep/Jan,,English,
Engineering and Physical Sciences,Undergraduate,BEng (Hons) Chemical Engineering,Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Engineering and Physical Sciences,Undergraduate,BEng (Hons) Electrical and Electronic Engineering,Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Engineering and Physical Sciences,Undergraduate,BEng (Hons) Mechanical Engineering,Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Engineering and Physical Sciences,Undergraduate,BEng (Hons) Mechanical Engineering and Energy Engineering,Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Engineering and Physical Sciences,Undergraduate,"BEng (Hons) Robotics, Autonomous and Interactive Systems",Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Engineering and Physical Sciences,Postgraduate,MSc Energy,Heriot-Watt University,AED 99349 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
Engineering and Physical Sciences,Postgraduate,MSc Global Sustainability Engineering,Heriot-Watt University,AED 99349 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
Engineering and Physical Sciences,Postgraduate,MSc Renewable Energy Engineering,Heriot-Watt University,AED 99349 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
Engineering and Physical Sciences,Postgraduate,MSc Robotics,Heriot-Watt University,AED 99349 (Total),"1 Year (Full-time), 2 Years (Part-time)",Sep/Jan,,English,
Engineering and Physical Sciences,Doctorate,EngD Energy,Heriot-Watt University,AED 60713,4 years,Sep/Jan,,English,
Engineering and Physical Sciences,Doctorate,PhD Engineering and Physical Sciences,Heriot-Watt University,AED 95670,3 years,Sep/Jan,,English,
Mathematical and Computer Sciences,Foundation,Degree Entry (Foundation) Programme Engineering / Computing,Heriot-Watt University,AED 51514(Total),2 semesters,Sep/Jan,,English,
Mathematical and Computer Sciences,Undergraduate,BSc (Hons) Computer Science,Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Mathematical and Computer Sciences,Undergraduate,BSc (Hons) Computer Science (Artificial Intelligence),Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Mathematical and Computer Sciences,Undergraduate,BSc (Hons) Computer Science (Computer Games Programming),Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
Mathematical and Computer Sciences,Undergraduate,BSc (Hons) Computer Science (Cyber Security),Heriot-Watt University,AED 76045,4 years,Sep/Jan,,English,
